config1,,config2,,config3,
ID,Detector label ,ID,Detector label ,ID,Detector label 
78,EE_1,78,EE_1,62,EE_1
90,EE_2,90,EE_2,144,EE_2
89,EE_3,89,EE_3,145,EE_3
88,EE_4,88,EE_4,51,EE_4
77,EE_5,77,EE_5,143,EE_5
85,EE_6,85,EE_6,142,EE_6
84,EE_7,84,EE_7,76,EE_11
32,EE_8,32,EE_8,70,EE_13
69,EE_9,69,EE_9,72,FH_10_1
79,EE_10,79,EE_10,69,FH_10_2
76,EE_11,76,EE_11,86,FH_10_3
83,EE_12,83,EE_12,44,FH_10_4
70,EE_13,70,EE_13,79,FH_10_5
73,EE_14,73,EE_14,87,FH_10_6
86,EE_15,86,EE_15,82,FH_10_7
87,EE_16,87,EE_16,84,FH_11_1
82,EE_17,82,EE_17,78,FH_11_2
72,EE_18,72,EE_18,67,FH_11_3
67,EE_19,67,EE_19,54,FH_11_4
65,EE_20,65,EE_20,85,FH_11_5
35,EE_21,35,EE_21,77,FH_11_6
36,EE_22,36,EE_22,90,FH_11_7
44,EE_23,44,EE_23,88,FH_12_1
51,EE_24,51,EE_24,73,FH_12_2
142,EE_25,142,EE_25,83,FH_12_3
143,EE_26,143,EE_26,35,FH_12_4
145,EE_27,145,EE_27,89,FH_12_5
144,EE_28,144,EE_28,65,FH_12_6
115,FH_6_1,62,FH_10_4,32,FH_12_7
40,FH_6_2,54,FH_11_4,38,FH_1_1
101,FH_6_3,38,FH_1_1,39,FH_1_2
96,FH_6_4,39,FH_1_2,43,FH_1_3
98,FH_6_5,43,FH_1_3,45,FH_1_4
95,FH_6_6,45,FH_1_4,53,FH_1_5
105,FH_6_7,53,FH_1_5,46,FH_1_6
122,FH_3_1,46,FH_1_6,48,FH_1_7
104,FH_3_2,48,FH_1_7,141,FH_8_1
100,FH_3_3,141,FH_8_1,147,FH_8_2
106,FH_3_4,147,FH_8_2,137,FH_8_3
123,FH_3_5,137,FH_8_3,139,FH_8_4
34,FH_3_6,139,FH_8_4,136,FH_8_5
113,FH_3_7,136,FH_8_5,140,FH_8_6
99,FH_4_1,140,FH_8_6,138,FH_8_7
121,FH_4_2,138,FH_8_7,91,FH_9_1
114,FH_4_3,91,FH_9_1,130,FH_9_2
94,FH_4_4,130,FH_9_2,133,FH_9_3
97,FH_4_5,133,FH_9_3,131,FH_9_4
111,FH_4_6,131,FH_9_4,134,FH_9_5
37,FH_4_7,134,FH_9_5,132,FH_9_6
124,FH_5_1,132,FH_9_6,146,FH_9_7
108,FH_5_2,146,FH_9_7,125,FH_7_1
109,FH_5_3,125,FH_7_1,129,FH_7_2
102,FH_5_4,129,FH_7_2,128,FH_7_3
118,FH_5_5,128,FH_7_3,119,FH_7_4
107,FH_5_6,119,FH_7_4,127,FH_7_5
120,FH_5_7,127,FH_7_5,126,FH_7_6
141,FH_8_1,126,FH_7_6,135,FH_7_7
147,FH_8_2,135,FH_7_7,115,FH_6_1
137,FH_8_3,115,FH_6_1,40,FH_6_2
139,FH_8_4,40,FH_6_2,101,FH_6_3
136,FH_8_5,101,FH_6_3,96,FH_6_4
140,FH_8_6,96,FH_6_4,98,FH_6_5
138,FH_8_7,98,FH_6_5,95,FH_6_6
91,FH_9_1,95,FH_6_6,105,FH_6_7
130,FH_9_2,105,FH_6_7,75,FH_2_1
133,FH_9_3,75,FH_2_1,59,FH_2_4
131,FH_9_4,59,FH_2_4,71,FH_2_3
134,FH_9_5,71,FH_2_3,64,FH_2_2
132,FH_9_6,64,FH_2_2,55,FH_2_5
146,FH_9_7,55,FH_2_5,63,FH_2_6
125,FH_7_1,63,FH_2_6,66,FH_2_7
129,FH_7_2,66,FH_2_7,122,FH_3_1
128,FH_7_3,122,FH_3_1,104,FH_3_2
119,FH_7_4,104,FH_3_2,100,FH_3_3
127,FH_7_5,100,FH_3_3,106,FH_3_4
126,FH_7_6,106,FH_3_4,123,FH_3_5
135,FH_7_7,123,FH_3_5,34,FH_3_6
38,FH_1_1,34,FH_3_6,113,FH_3_7
39,FH_1_2,113,FH_3_7,99,FH_4_1
42,FH_1_3,99,FH_4_1,121,FH_4_2
45,FH_1_4,121,FH_4_2,114,FH_4_3
53,FH_1_5,114,FH_4_3,94,FH_4_4
46,FH_1_6,94,FH_4_4,97,FH_4_5
48,FH_1_7,97,FH_4_5,111,FH_4_6
75,FH_2_1,111,FH_4_6,37,FH_4_7
59,FH_2_4,37,FH_4_7,124,FH_5_1
71,FH_2_3,124,FH_5_1,108,FH_5_2
64,FH_2_2,108,FH_5_2,109,FH_5_3
55,FH_2_5,109,FH_5_3,102,FH_5_4
63,FH_2_6,102,FH_5_4,118,FH_5_5
66,FH_2_7,118,FH_5_5,107,FH_5_6
62,FH_10_4,107,FH_5_6,120,FH_5_7
54,FH_11_4,120,FH_5_7,,
43,FH_12_4,,,,
